schoolCode,schoolname,mgmt,type,classL,classH
27030908101,Z. P. PRI. SCH GHARDI,Zilla Parishad,1_Primary,1,4
27030908201,Z. P. PRI. SCH KHAPARKHEDE,Zilla Parishad,1_Primary,1,4
27030908301,Z. P. PRI. SCH NANDRE KH.,Zilla Parishad,1_Primary,1,4
27030908401,Z. P. PRI. SCH RIDHUR,Zilla Parishad,2_Primary with Upper Primary,1,7
27030908501,Z. P. PRI. SCH TURKHEDE,Zilla Parishad,1_Primary,1,4
27030908601,Z. P. PRI. SCH. SHIRSOLI P. B.,Zilla Parishad,2_Primary with Upper Primary,1,7
27030908701,Z. P. PRI. SCH. SUBHASHWADI,Zilla Parishad,2_Primary with Upper Primary,1,7
27030908802,Z P PRI SCH TIGHRE,Zilla Parishad,2_Primary with Upper Primary,1,5
27031000101,Z.P.PRI.SCH.BETAWAD BK,Zilla Parishad,2_Primary with Upper Primary,1,5
27031000201,Z.P.PRI.SCH.BETAWAD KH,Zilla Parishad,2_Primary with Upper Primary,1,5
27031000301,Z.P.PRI.SCH.DEWALASGAON,Zilla Parishad,1_Primary,1,4
27031000401,Z.P.PRI.SCH.GORNALE,Zilla Parishad,2_Primary with Upper Primary,1,5
27031000501,Z.P.PRI.SCH.KAPUSWADI,Zilla Parishad,1_Primary,1,4
27031000601,Z.P.PRI.SCH.NANDRA HAWELI,Zilla Parishad,1_Primary,1,4
27031000701,Z.P.PRI.SCH.RANJANI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031000801,Z.P.PRI.SCH.CHINCHOLI PIMPRI,Zilla Parishad,1_Primary,1,4
27031000901,Z.P.PRI.SCH.FATTEPUR,Zilla Parishad,1_Primary,1,4
27031000902,Z.P.PRI.SCH.(URDU) FATTEPUR,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031001001,Z.P.PRI.SCH.GODRI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031001002,Z.P.PRI.SCH.(URDU) GODRI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031001003,Z.P.PRI.SCH.GODRI TANDA,Zilla Parishad,1_Primary,1,4
27031001101,Z.P.PRI.SCH.HINGANE PIMPRI,Zilla Parishad,1_Primary,1,4
27031001201,Z.P.PRI.SCH.KINHI,Zilla Parishad,1_Primary,1,4
27031001301,Z.P.PRI.SCH.MEHEGAON,Zilla Parishad,1_Primary,1,4
27031001401,Z.P.PRI.SCH.NIMKHEDI PIMPRI,Zilla Parishad,1_Primary,1,4
27031001501,Z.P.PRI.SCH.SHEVAGE PIMPRI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031001601,Z.P.PRI.SCH.TAKALI PIMPRI,Zilla Parishad,1_Primary,1,4
27031001801,Z.P.PRI.SCH.AMBILHOL,Zilla Parishad,1_Primary,1,4
27031001901,Z.P. PRI. SCH.AMBILHOL DEVI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031002001,Z.P. PRI. SCH. DOHARI,Zilla Parishad,1_Primary,1,4
27031002002,Z.P. PRI. SCH. DOHARI TANDA,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031002201,Z.P. PRI. SCH.GARKHEDA BK,Zilla Parishad,1_Primary,1,4
27031002301,Z.P. PRI. SCH.GARKHEDA KH,Zilla Parishad,1_Primary,1,4
27031002401,Z.P. PRI. SCH.HOL HAWELI,Zilla Parishad,1_Primary,1,4
27031002402,Z.P.PRI.SCH.HOL,Zilla Parishad,1_Primary,1,4
27031002501,Z.P. PRI. SCH.KHADGAON ,Zilla Parishad,2_Primary with Upper Primary,1,7
27031002601,Z.P. PRI. SCH.MAHUKHEDA,Zilla Parishad,1_Primary,1,4
27031002701,Z.P. PRI. SCH.MUNDKHEDA,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031002801,Z.P. PRI. SCH.SHINGAEET,Zilla Parishad,1_Primary,1,4
27031002902,Z.P. MARATHI PRI. SCH. (GIRLS) JAMNER,Zilla Parishad,2_Primary with Upper Primary,1,7
27031002903,Z.P.URDU  PRI. SCH. (BOYS) JAMNER,Zilla Parishad,2_Primary with Upper Primary,1,7
27031002904,Z.P.URDU PRI. SCH. (GIRLS) JAMNER,Zilla Parishad,2_Primary with Upper Primary,1,7
27031002912,Z.P. MARATHI  PRI. SCH. JAMNER PURA,Zilla Parishad,1_Primary,1,4
27031002913,Z.P. URDU PRI. SCH. JAMNER PURA,Zilla Parishad,1_Primary,1,4
27031002916,Z P PRI SCH. SHAHPUR CORNER JAMNER,Zilla Parishad,1_Primary,1,4
27031002920,Z.P.URDU PRI SCH. BISMILLA NAGAR JAMNER,Zilla Parishad,1_Primary,1,4
27031003001,Z.P. PRI. SCH. HIWARKHEDE BK.,Zilla Parishad,1_Primary,1,4
27031003101,Z.P. PRI. SCH. KEKATNIMBHORE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031003201,Z.P. PRI. SCH. OZAR BK.,Zilla Parishad,1_Primary,1,4
27031003301,Z.P. PRI. SCH. OZAR KH.,Zilla Parishad,2_Primary with Upper Primary,1,5
27031003401,Z.P. PRI. SCH. PALASKHEDE BK.,Zilla Parishad,1_Primary,1,4
27031003402,Z. P. PRI SCH. UNNATINAGAR,Zilla Parishad,1_Primary,1,4
27031003501,Z.P. PRI. SCH. WAKI BK.,Zilla Parishad,2_Primary with Upper Primary,1,7
27031003801,Z.P. PRI. SCH.BORGAON,Zilla Parishad,1_Primary,1,4
27031003901,Z.P. PRI. SCH.KHADAKI,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031003902,Z.P. PRI. SCH. VASANT N. NAGAR,Zilla Parishad,1_Primary,1,4
27031004001,Z.P. PRI. SCH.LAHASAR,Zilla Parishad,2_Primary with Upper Primary,1,7
27031004101,Z.P. PRI. SCH.LAHASAR TANDA,Zilla Parishad,1_Primary,1,4
27031004201,Z.P. PRI. SCH.MALDABHADI,Zilla Parishad,1_Primary,1,4
27031004301,Z.P. PRI. SCH.NAVIDABHADI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031004401,Z.P. PRI. SCH. MARATHI SONARI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031004402,Z.P. PRI. SCH. URDU SONARI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031004501,Z.P. PRI. SCH.WADI,Zilla Parishad,1_Primary,1,4
27031004502,Z.P. PRI. SCH. WADI KILLA,Zilla Parishad,1_Primary,1,4
27031004601,Z.P. PRI. SCH.BHARADI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031004701,Z.P. PRI. SCH.BHILKHEDA,Zilla Parishad,1_Primary,1,4
27031004801,Z.P. PRI. SCH.CHILGAON,Zilla Parishad,2_Primary with Upper Primary,1,6
27031004901,Z.P. PRI. SCH.DONDWADE,Zilla Parishad,1_Primary,1,4
27031005001,Z.P. PRI. SCH.EKULATI BK.,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031005201,Z.P. PRI. SCH.JOGALKHEDE,Zilla Parishad,1_Primary,1,4
27031005301,Z.P. PRI. SCH. (MARATHI) NACHANKHEDE,Zilla Parishad,1_Primary,1,4
27031005302,Z.P. PRI. SCH. (URDU) NACHANKHEDE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031005401,Z.P. PRI. SCH.NANDRA P.L.,Zilla Parishad,2_Primary with Upper Primary,1,7
27031005501,Z.P. PRI. SCH.ROTWAD,Zilla Parishad,1_Primary,1,4
27031005503,Z.P. PRI. SCH. MORGAON,Zilla Parishad,1_Primary,1,4
27031005601,Z.P. PRI. SCH.SARVE P.L.,Zilla Parishad,1_Primary,1,4
27031005801,Z.P. PRI. SCH. CHINCHKHEDE BK. 1,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031005802,Z.P. PRI. SCH. CHINCHKHEDE BK. 2,Zilla Parishad,1_Primary,1,4
27031005901,Z.P. PRI. SCH. GADEGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031006001,Z.P. PRI. SCH. HINGANE BK.,Zilla Parishad,2_Primary with Upper Primary,1,6
27031006101,Z.P. PRI. SCH. KARMAD,Zilla Parishad,2_Primary with Upper Primary,1,5
27031006201,Z.P. PRI. SCH. MOHADI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031006301,Z.P. PRI. SCH. (BOYS) NERI BK.,Zilla Parishad,1_Primary,1,4
27031006302,Z.P. PRI. SCH. (GIRLS) NERI BK.,Zilla Parishad,1_Primary,1,4
27031006401,Z.P. PRI. SCH. (MARATHI) NERI DIGAR,Zilla Parishad,2_Primary with Upper Primary,1,7
27031006402,Z.P. PRI. SCH.(URDU) NERI DIGAR,Zilla Parishad,2_Primary with Upper Primary,1,5
27031006403,Z.P. PRI. SCH. (MARATHI) INDIRA NAGAR NERI DIGAR,Zilla Parishad,1_Primary,1,4
27031006501,Z.P. PRI. SCH. (MARATHI) PALAKHEDE MIRACHE,Zilla Parishad,1_Primary,1,4
27031006502,Z.P. PRI. SCH.(URDU) PALASKHEDE MIRACHE,Zilla Parishad,1_Primary,1,4
27031006601,Z.P. PRI. SCH. HIWARI HIWARKHEDE,Zilla Parishad,1_Primary,1,4
27031006701,Z.P. PRI. SCH. URDU HIWARI DIGAR,Zilla Parishad,1_Primary,1,4
27031006801,Z.P. PRI. SCH. KHARCHANE,Zilla Parishad,2_Primary with Upper Primary,1,5
27031006901,Z.P. PRI. SCH. (URDU) LONDHARI BK,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031006902,Z.P.PRI.SCH. LONDHARI BK,Zilla Parishad,2_Primary with Upper Primary,1,5
27031007001,Z.P. PRI. SCH. MARATHI LONDHARI KH.,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031007101,Z.P. PRI. SCH. (BOYS) PAHUR PETH,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007102,Z.P. PRI. SCH. (GIRLS) PAHUR PETH,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007103,Z.P. PRI. SCH. URDU PAHUR PETH,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007104,Z.P. PRI. SCH. MARATHI LELENAGAR PAHUR KASBE,Zilla Parishad,1_Primary,1,4
27031007105,Z.P. PRI. SCH. URDU KHAJANAGAR PAHUR KASBE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007106,Z.P. PRI. SCH. (BOYS) PAHUR KASBE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007107,Z.P. PRI. SCH. (GIRL) PAHUR KASBE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007108,Z.P. PRI. SCH. (URDU) PAHUR KASBE,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007109,Z.P. PRI. SCH. SANTOSHIMATA NAGAR PAHUR PETH,Zilla Parishad,1_Primary,1,4
27031007115,Z.P.PRI.SCH.SHIVNAGAR PAHUR KASBE,Zilla Parishad,1_Primary,1,4
27031007116,Z.P.PRI.SCH.GOSAVI WADI PAHUR KASBE,Zilla Parishad,1_Primary,1,4
27031007117,Z.P.PRI.SCH.URDU SHIVNAGAR ,Zilla Parishad,1_Primary,1,4
27031007201,Z.P. PRI. SCH. SANGAVI,Zilla Parishad,1_Primary,1,4
27031007301,Z.P. PRI. SCH. SHERI,Zilla Parishad,1_Primary,1,4
27031007401,Z.P. PRI. SCH. DEVPIMPRI,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031007402,Z.P. PRI. SCH. DEVPIMPRI VASAHAT,Zilla Parishad,1_Primary,1,4
27031007501,Z.P. PRI. SCH.GONDKHED,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031007601,Z.P. PRI. SCH.KUMBHARI SIM,Zilla Parishad,1_Primary,1,4
27031007701,Z.P. PRI. SCH.MALPIMPRI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031007801,Z.P. PRI. SCH. (BOYS) PALADHI,Zilla Parishad,1_Primary,1,4
27031007802,Z.P. PRI. SCH. (GIRLS) PALADHI,Zilla Parishad,1_Primary,1,4
27031007803,Z.P. PRI. SCH. (URDU) PALADHI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031007805,Z.P.PRI.SCH.PALADHI WADI,Zilla Parishad,1_Primary,1,4
27031007901,Z.P. PRI. SCH. SONALE,Zilla Parishad,2_Primary with Upper Primary,1,5
27031008001,Z.P. PRI. SCH. SUNASGAON BK.,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031008101,Z.P. PRI. SCH. SUNASGAON KH.,Zilla Parishad,1_Primary,1,4
27031008201,Z.P. PRI. SCH. SAWATKHEDA,Zilla Parishad,2_Primary with Upper Primary,1,5
27031008301,Z.P. PRI. SCH. AMKHEDA,Zilla Parishad,2_Primary with Upper Primary,1,5
27031008401,Z.P. PRI. SCH. JALANDRI KH.,Zilla Parishad,1_Primary,1,4
27031008501,Z.P. PRI. SCH. JALANDRI BK.,Zilla Parishad,1_Primary,1,4
27031008601,Z.P. PRI. SCH.  (MARATHI) SAMROD,Zilla Parishad,1_Primary,1,4
27031008602,Z.P. PRI. SCH.  (URDU) SAMROD,Zilla Parishad,1_Primary,1,4
27031008701,Z.P. PRI. SCH. (MARATHI) SAWARLA,Zilla Parishad,2_Primary with Upper Primary,1,7
27031008702,Z.P. PRI. SCH. (URDU) SAWARLA,Zilla Parishad,2_Primary with Upper Primary,1,5
27031008801,Z.P. PRI. SCH. (MARATHI) SHAHAPUR,Zilla Parishad,1_Primary,1,4
27031008802,Z.P. PRI. SCH. SHAHAPUR PURA,Zilla Parishad,1_Primary,1,4
27031008803,Z.P. PRI. SCH. (URDU) SHAHAPUR ,Zilla Parishad,2_Primary with Upper Primary,1,5
27031008805,Z.P. PRI. SCH. DATTANAGAR,Zilla Parishad,1_Primary,1,4
27031008901,Z.P. PRI. SCH. SHELGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031009001,Z.P. PRI. SCH. TALEGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031009101,Z.P. PRI. SCH. TAKARKHEDA,Zilla Parishad,2_Primary with Upper Primary,1,7
27031009201,Z.P.PRI. AMBADI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031009301,Z.P. PRI. SCH. BILWADI,Zilla Parishad,1_Primary,1,4
27031009401,Z.P. PRI. SCH. GONDEGAON,Zilla Parishad,1_Primary,1,4
27031009501,Z.P. PRI. SCH. GONDEGAON TANDA,Zilla Parishad,1_Primary,1,4
27031009601,Z.P. PRI. SCH. LIHE DIGAR,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031009602,Z.P. PRI. SCH. (ZOPADI TANDA),Zilla Parishad,1_Primary,1,4
27031009603,Z.P.PRI.SCH LIHE TANDA,Zilla Parishad,1_Primary,1,4
27031009701,Z.P. PRI. SCH. MALKHEDA,Zilla Parishad,2_Primary with Upper Primary,1,5
